<Meta>,<Event>,<Severity>,<Privacy>,<Subject>,<Owner>,<Object>,<Object>,<Object>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Operation>,<Client>
<Def>,User.Disable.Failure,Warning,TRUE,<privacy>,"<internal>
無効化に失敗したユーザ
(特定できない場合には空文字列を出力)","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
ユーザが所属するクラス
(特定できない場合は空文字列)",,"<UNCLASSIFIED>
失敗理由",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.PasswordChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
パスワードが変更されたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合には空文字列を表示)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
認証方式","<unclassified>
認証先
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.PasswordChange.Failure,Warning,TRUE,<privacy>,"<internal>
パスワードが変更されそうになったユーザ
(存在しない場合は空文字列)","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
ユーザが所属するクラス
(特定できない場合は空文字列)",,"<PRIVACY>
InvalidPassword or AuthenticationFailure","<unclassified>
認証方式
(特定できない場合は空文字列)","<unclassified>
認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.PassphraseChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
パスワードが変更されたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合には空文字列を表示)","<UNCLASSIFIED>
ユーザが所属するクラス",,,,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.PassphraseChange.Failure,Warning,TRUE,<privacy>,"<internal>
パスワードが変更されそうになったユーザ
(存在しない場合は空文字列)","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
ユーザが所属するクラス
(特定できない場合に空文字列)",,"<PRIVACY>
InvalidPassword or AuthenticationFailure",,,,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.DisplayNameChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
基本属性が変更されたユーザ","<PRIVACY>
ユーザー管理番号","<privacy>
ユーザ名
（表示用の名称)
(特定できない場合には空文字列を表示)","<UNCLASSIFIED>
ユーザが所属するクラス",,,"<UNCLASSIFIED>
認証方式","<unclassified>
認証先
(認証方式がLocalの場合は空文字)","<PRIVACY>
変更後のユーザ名
（表示用の名称)",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.DisplayNameChange.Failure,Warning,TRUE,<privacy>,"<internal>
基本属性が変更されそうになったユーザ
(存在しない場合は空文字列)","<PRIVACY>
ユーザー管理番号
(ユーザー管理番号が不正な場合でも、不正だったユーザー管理番号を記録する。)",,"<unclassified>
ユーザが所属するクラス
(特定できない場合は空文字列)",,"<UNCLASSIFIED>
失敗理由","<unclassified>
認証方式
(特定できない場合は空文字列)","<unclassified>
認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)","<PRIVACY>
変更要求されたのユーザ名
（表示用の名称)",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AttributeChange.Start,Warning,TRUE,<privacy>,"<internal>
属性の変更要求が行われたユーザのユーザ管理番号
(存在しない場合は空文字列)","<PRIVACY>
属性の変更要求が行われたユーザのユーザ管理番号","<privacy>
属性の変更要求が行われたユーザのユーザ名（表示用の名称）
(特定できない場合には空文字列を表示)","<unclassified>
属性の変更要求が行われたユーザのユーザクラス
(特定できない場合は空文字列)","<UNCLASSIFIED>
変更開始時間",,"<unclassified>
属性の変更要求が行われたユーザの認証方式
(特定できない場合に空文字列)","<unclassified>
属性の変更要求が行われたユーザの認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AttributeChange.Success,Warning,TRUE,<PRIVACY>,"<INTERNAL>
属性の変更要求が行われたユーザのユーザ管理番号","<PRIVACY>
属性の変更が行われたユーザのユーザ管理番号","<privacy>
属性の変更が行われたユーザのユーザ名（表示用の名称）
(特定できない場合には空文字列を表示)","<UNCLASSIFIED>
属性の変更が行われたユーザのユーザクラス","<UNCLASSIFIED>
ユーザの属性情報変更開始と同じ時間",,"<UNCLASSIFIED>
変更された属性の識別情報","<privacy>
変更前の値
(未設定の場合は空文字)","<privacy>
変更後の値
(クリアされた場合は空文字)",,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AttributeChange.Failure,Warning,TRUE,<privacy>,"<internal>
属性の変更要求が行われたユーザのユーザ管理番号
(存在しない場合は空文字列)","<PRIVACY>
属性の変更要求が行われたユーザのユーザ管理番号","<privacy>
属性の変更要求が行われたユーザのユーザ名（表示用の名称）
(特定できない場合には空文字列を表示)","<unclassified>
属性の変更要求が行われたユーザのユーザクラス
(特定できない場合は空文字列)","<UNCLASSIFIED>
ユーザの属性情報変更開始と同じ時間","<UNCLASSIFIED>
失敗理由","<UNCLASSIFIED>
変更要求された属性の識別情報","<privacy>
変更要求された値
(クリア要求の場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,User.AttributeChange.Complete,Warning,TRUE,<privacy>,"<internal>
属性の変更要求が行われたユーザのユーザ管理番号
(存在しない場合は空文字列)","<PRIVACY>
属性の変更要求が行われたユーザのユーザ管理番号","<privacy>
属性の変更要求が行われたユーザのユーザ名（表示用の名称）
(特定できない場合には空文字列を表示)","<unclassified>
属性の変更要求が行われたユーザのユーザクラス
(特定できない場合は空文字列)","<UNCLASSIFIED>
ユーザの属性情報変更開始と同じ時間",,"<unclassified>
属性の変更要求が行われたユーザの認証方式
(特定できない場合は空文字列)","<unclassified>
属性の変更要求が行われたユーザの認証先
(特定できない場合は空文字列)
(認証方式がLocalの場合は空文字)",,,,,jp.co.fujixerox.spider.runtime.pauthcomp.PrincipalAuthorityComponent
<Def>,Job.Create.Reject,Warning,TRUE,<PRIVACY>,,,,"<UNCLASSIFIED>
ジョブ種別",,"<UNCLASSIFIED>
拒否理由","<PRIVACY>
データ入力元","<PRIVACY>
データ出力先",,,,,jp.co.fujixerox.spicule.app.scancomp.ScanApplicationComponent
<Def>,Job.Create.Success,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID",,"<UNCLASSIFIED>
ジョブ種別","<UNCLASSIFIED>
ジョブの生成時間",,,,,,,,jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
<Def>,Job.Create.Failure,Warning,TRUE,<PRIVACY>,,,,"<UNCLASSIFIED>
ジョブ種別",,"<UNCLASSIFIED>
失敗理由",,,,,,,jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
<Def>,Job.End,Notice,TRUE,,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID","<PRIVACY>
ジョブ名
（記載内容の詳細は、アプリごとに決める。）","<UNCLASSIFIED>
ジョブ種別","<UNCLASSIFIED>
ジョブの完了時間","<UNCLASSIFIED>
ジョブの終了要因",,,,,,,jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
<Def>,Job.Abort.Required,Notice,TRUE,<PRIVACY>,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID",,"<UNCLASSIFIED>
ジョブ種別","<UNCLASSIFIED>
ジョブの中止要求時間","<UNCLASSIFIED>
要求受付結果","<UNCLASSIFIED>
ジョブの中止理由",,,,,,jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
<Def>,Job.Execution.Control,Warning,"FALSE
",,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID",,,,"<UNCLASSIFIED>
制限詳細","<UNCLASSIFIED>
ジョブのアカウント種別",,,,,,jp.co.fujixerox.spider.util.accountcomp.AccountUtilityComponent
<Def>,Job.Set.InputMethod,Warning,TRUE,<PRIVACY>,"<INTERNAL>
ジョブのオーナ","<UNCLASSIFIED>
JobID",,,,,"<PRIVACY>
データ入力元",,,,,,"jp.co.fujixerox.spider.runtime.jmcomp.JobManagerComponent
jp.co.fujixerox.spicule.app.scancomp.ScanApplicationComponent"
